"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","MC.PA","385520437677","771.756","France"
"2","Hermès","RMS.PA","239379633116","2285.68","France"
"3","Inditex","IDEXY","154159235072","24.76","Spain"
"4","Dior","CDI.PA","130408217327","722.84","France"
"5","TJX Companies","TJX","124757262336","110.39","United States"
"6","Nike","NKE","113564246016","75.24","United States"
"7","Fast Retailing","9983.T","79565432473","259.415","Japan"
"8","Cintas","CTAS","71295000576","702.67","United States"
"9","Ross Stores","ROST","48084766720","144","United States"
"10","Kering","KER.PA","43722376161","356.673","France"
"11","Adidas","ADS.DE","42012661836","235.3","Germany"
"12","lululemon athletica","LULU","37540601856","300.32","Canada"
"13","H&amp;M","HM-B.ST","25939966966","16.1064","Sweden"
"14","Prada","1913.HK","18445452051","7.20858","Italy"
"15","Moncler","MONC.MI","16488953095","60.999","Italy"
"16","Burlington Stores","BURL","14912306176","233.64","United States"
"17","Next plc","NXT.L","14665223371","116.091","United Kingdom"
"18","Ralph Lauren","RL","10508513280","167.72","United States"
"19","Tapestry","TPR","9234576384","40.19","United States"
"20","Abercrombie &amp; Fitch","ANF","9186178048","179.75","United States"
"21","Gap Inc.","GPS","8956600320","23.88","United States"
"22","LPP SA","LPP.WA","7668224115","4133.39","Poland"
"23","Levi Strauss","LEVI","7568457728","19.04","United States"
"24","JD Sports Fashion","JD.L","7455427759","1.4384","United Kingdom"
"25","PUMA","PUM.DE","7024236763","46.8767","Germany"
"26","Brunello Cucinelli","BC.MI","6760006318","99.4174","Italy"
"27","Zalando","ZAL.DE","6531370064","25.0728","Germany"
"28","Gildan","GIL","6497458688","38.54","Canada"
"29","Phillips-Van Heusen","PVH","5846636032","104.67","United States"
"30","Bosideng","3998.HK","5643730555","0.513435","Hong Kong"
"31","Page Industries","PAGEIND.NS","5131124356","460.03","India"
"32","VF Corporation","VFC","5057402880","13","United States"
"33","Columbia Sportswear","COLM","4528306688","76.59","United States"
"34","Urban Outfitters","URBN","4031109376","43.16","United States"
"35","Burberry","BRBY.L","4007515454","11.1759","United Kingdom"
"36","Pepkor","PPH.JO","3901692800","1.05917","South Africa"
"37","Capri Holdings","CPRI","3887911424","33.33","United Kingdom"
"38","Boot Barn Holdings","BOOT","3874973440","127.47","United States"
"39","American Eagle Outfitters","AEO","3791098880","19.3","United States"
